"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8NUJHIL5","journalArticle","2001","Cootes, T. F.; Edwards, G. J.; Taylor, C. J.","Active appearance models","IEEE Transactions on Pattern Analysis and Machine Intelligence","","1939-3539","10.1109/34.927467","","We describe a new method of matching statistical models of appearance to images. A set of model parameters control modes of shape and gray-level variation learned from a training set. We construct an efficient iterative matching algorithm by learning the relationship between perturbations in the model parameters and the induced image errors.","2001-06","2021-03-16 14:11:16","2021-04-08 05:27:36","","681-685","","6","23","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Pattern Analysis and Machine Intelligence","<div data-schema-version=""1""><p>Annotation</p> <p>Active Appearance Models (AAM)</p> <p>Previous methods are very slow or easily become trapped in local minima to fit photo-realistic appearance. Some previous methods cannot fit because the shape-normalized texture map cannot be reconstructed.</p> <p>The authors thought the hypothesis of the optimization problem is similar to each time so can be similarities offline, which can find the directions of rapid convergence.</p> <p>The AAM is a further improvement of ASM, which combining both the shape and texture for fitting the model.</p> <p>Datasets are 100 hand-labeled face images as training set and another 100 as test set.</p> <p>No quantitative comparison to other methods.</p> <p>+ve: Good reliability and robustness of image appearance search.</p> <p>-ve: The training speed of AAM is slower than ASM.</p> <p>The improvement of ASM combining the shape and texture.</p></div>","C:\Users\smczx\Zotero\storage\2Y22Q7QV\927467.html; F:\Google Drive - Monash\Bibliography\Cootes et al_2001_Active appearance models.pdf","","","active appearance models; Active shape model; Deformable models; deformable template; gray-level variation; Image generation; image matching; Image reconstruction; Image segmentation; image texture; Iterative algorithms; iterative method; iterative methods; learning; learning (artificial intelligence); model matching; optimisation; Optimization methods; Robustness; Shape control; shape matching; statistical analysis; statistical models; Surface fitting; texture matching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TFE7ABP5","report","2018","Rhue, Lauren","Racial Influence on Automated Perceptions of Emotions","","","","","https://papers.ssrn.com/abstract=3281765","The practical applications of artificial intelligence are expanding into various elements of society, leading to a growing interest in the potential biases of such algorithms. Facial analysis, one application of artificial intelligence, is increasingly used in real-word situations. For example, some organizations tell candidates to answer predefined questions in a recorded video and use facial recognition to analyze the potential applicant faces. In addition, some companies are developing facial recognition software to scan the faces in crowds and assess threats, specifically mentioning doubt and anger as emotions that indicate threats.  This study provides evidence that facial recognition software interprets emotions differently based on the person’s race. Using a publically available data set of professional basketball players’ pictures, I compare the emotional analysis from two different facial recognition services, Face   and Microsoft's Face API. Both services interpret black players as having more negative emotions than white players; however, there are two different mechanisms. Face   consistently interprets black players as angrier than white players, even controlling for their degree of smiling. Microsoft registers contempt instead of anger, and it interprets black players as more contemptuous when their facial expressions are ambiguous. As the players’ smile widens, the disparity disappears. This finding has implications for individuals, organizations, and society, and it contributes to the growing literature of bias and/or disparate impact in AI.","2018-11-09","2021-03-16 14:12:55","2021-04-06 15:05:45","2021-03-16 14:12:55","","","","","","","","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","DOI: 10.2139/ssrn.3281765","<div data-schema-version=""1""><p>Annotation</p> <p>Racial influence on expression recognition</p></div>","C:\Users\smczx\Zotero\storage\LJCMBRU6\papers.html; F:\Google Drive - Monash\Bibliography\Rhue_2018_Racial Influence on Automated Perceptions of Emotions.pdf","","Unreviewed","artificial intelligence; bias; coarsened exact matching; econometrics; facial recognition; race","","","","","","","","","","","","","","","","","","","ID 3281765","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZHFBZTZ","conferencePaper","2011","Rudovic, O.; Pantic, M.","Shape-constrained Gaussian process regression for facial-point-based head-pose normalization","2011 International Conference on Computer Vision","","","10.1109/ICCV.2011.6126407","","Given the facial points extracted from an image of a face in an arbitrary pose, the goal of facial-point-based head-pose normalization is to obtain the corresponding facial points in a predefined pose (e.g., frontal). This involves inference of complex and high-dimensional mappings due to the large number of the facial points employed, and due to differences in head-pose and facial expression. Most regression-based approaches for learning such mappings focus on modeling correlations only between the inputs (i.e., the facial points in a non-frontal pose) and the outputs (i.e., the facial points in the frontal pose), but not within the inputs and the outputs of the model. This makes these models prone to errors due to noise and outliers in test data, often resulting in anatomically impossible facial configurations formed by their predictions. To address this, we propose Shape-constrained Gaussian Process (SC-GP) regression for facial-point-based head-pose normalization. Specifically, a deformable face-shape model is used to learn a face-shape prior, which is placed on both the input and the output of GP regression in order to constrain the model predictions to anatomically feasible facial configurations. Our extensive experiments on both synthetic and real image data show that the proposed approach generalizes well across poses and handles successfully noise and outliers in test data. In addition, the proposed model outperforms previously proposed approaches to facial-point-based head-pose normalization.","2011-11","2021-03-16 14:14:23","2021-04-06 15:01:43","","1495-1502","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2380-7504","<div data-schema-version=""1""><p>Annotation</p> <p>Gaussian process regression and apply PCA to manipulate</p></div>","C:\Users\smczx\Zotero\storage\T82G2MK8\6126407.html; F:\Google Drive - Monash\Bibliography\Rudovic_Pantic_2011_Shape-constrained Gaussian process regression for facial-point-based head-pose.pdf","","Unreviewed","Principal component analysis; Deformable models; arbitrary pose; Computational modeling; Data models; deformable face-shape model; face recognition; facial point extraction; facial-point-based head-pose normalization; feature extraction; Gaussian processes; high-dimensional mappings; pose estimation; regression analysis; Shape; shape-constrained Gaussian process regression; Three dimensional displays; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011 International Conference on Computer Vision","","","","","","","","","","","","","","",""
"9LTVQVP7","journalArticle","2019","Li, S.; Deng, W.","Reliable Crowdsourcing and Deep Locality-Preserving Learning for Unconstrained Facial Expression Recognition","IEEE Transactions on Image Processing","","1941-0042","10.1109/TIP.2018.2868382","","Facial expression is central to human experience, but most previous databases and studies are limited to posed facial behavior under controlled conditions. In this paper, we present a novel facial expression database, Real-world Affective Face Database (RAF-DB), which contains approximately 30 000 facial images with uncontrolled poses and illumination from thousands of individuals of diverse ages and races. During the crowdsourcing annotation, each image is independently labeled by approximately 40 annotators. An expectation-maximization algorithm is developed to reliably estimate the emotion labels, which reveals that real-world faces often express compound or even mixture emotions. A cross-database study between RAF-DB and CK+ database further indicates that the action units of real-world emotions are much more diverse than, or even deviate from, those of laboratory-controlled emotions. To address the recognition of multi-modal expressions in the wild, we propose a new deep locality-preserving convolutional neural network (DLP-CNN) method that aims to enhance the discriminative power of deep features by preserving the locality closeness while maximizing the inter-class scatter. Benchmark experiments on 7-class basic expressions and 11-class compound expressions, as well as additional experiments on CK+, MMI, and SFEW 2.0 databases, show that the proposed DLP-CNN outperforms the state-of-the-art handcrafted features and deep learning-based methods for expression recognition in the wild. To promote further study, we have made the RAF database, benchmarks, and descriptor encodings publicly available to the research community.","2019-01","2021-03-16 14:16:39","2021-04-06 15:06:02","","356-370","","1","28","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Image Processing","<div data-schema-version=""1""><p>Annotation</p> <p>RAF-DB</p></div>","F:\Google Drive - Monash\Bibliography\Li_Deng_2019_Reliable Crowdsourcing and Deep Locality-Preserving Learning for Unconstrained.pdf","","Unreviewed","convolution; Machine learning; learning (artificial intelligence); face recognition; basic emotion; CK+ database; compound emotion; Compounds; cross-database study; crowdsourcing annotation; Databases; deep learning; deep learning-based methods; deep locality-preserving convolutional neural network method; descriptor encodings; DLP-CNN; emotion labels; emotion recognition; expectation-maximisation algorithm; expectation-maximization algorithm; express compound; Expression recognition; Face; Face recognition; facial behavior posed; facial expression database; facial images; feedforward neural nets; inter-class scatter; laboratory-controlled emotions; locality closeness; mixture emotions; multimodal expressions recognition; RAF database; RAF-DB; Reactive power; real-world affective face database; real-world emotions; Reliability; unconstrained facial expression recognition; visual databases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7ZNACBK","journalArticle","2015","Simonyan, Karen; Zisserman, Andrew","Very Deep Convolutional Networks for Large-Scale Image Recognition","arXiv:1409.1556 [cs]","","","","http://arxiv.org/abs/1409.1556","In this work we investigate the effect of the convolutional network depth on its accuracy in the large-scale image recognition setting. Our main contribution is a thorough evaluation of networks of increasing depth using an architecture with very small (3x3) convolution filters, which shows that a significant improvement on the prior-art configurations can be achieved by pushing the depth to 16-19 weight layers. These findings were the basis of our ImageNet Challenge 2014 submission, where our team secured the first and the second places in the localisation and classification tracks respectively. We also show that our representations generalise well to other datasets, where they achieve state-of-the-art results. We have made our two best-performing ConvNet models publicly available to facilitate further research on the use of deep visual representations in computer vision.","2015-04-10","2021-03-16 14:24:33","2021-04-08 07:19:57","2021-03-16 14:24:33","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1409.1556","<div data-schema-version=""1""><p>Annotation</p> <p>VGG</p> <p>Improve the previous CNN structure for better accuracy for ILSVRC.</p> <p>The depth of the structure of CNN can be discussed for better performance of the model.</p> <p>They proposed two best VGG-16 and VGG-19 structures. Instead of using big kernel size, the VGG only use 3x3 kernel sizes and 16 layers or 19 layers.</p> <p>ILSVRC-2014</p> <p>The metric is test set classification error. Their score is better than the best of ILSVRC-2013.</p> <p>+ve: More depth is beneficial for the performance. VGG structures has widely usage for other tasks.</p> <p>-ve:</p> <p>Provide a famous VGG structure for CNN area, which indicates the depth contributes more than width of CNN.</p></div>","F:\Google Drive - Monash\Bibliography\Simonyan_Zisserman_2015_Very Deep Convolutional Networks for Large-Scale Image Recognition.pdf; C:\Users\smczx\Zotero\storage\9VVQ6FR8\1409.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGZ5ML22","conferencePaper","2016","He, Kaiming; Zhang, Xiangyu; Ren, Shaoqing; Sun, Jian","Deep Residual Learning for Image Recognition","Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition","","","","https://openaccess.thecvf.com/content_cvpr_2016/html/He_Deep_Residual_Learning_CVPR_2016_paper.html","Deeper neural networks are more difficult to train. We present a residual learning framework to ease the training of networks that are substantially deeper than those used previously. We explicitly reformulate the layers as learning residual functions with reference to the layer inputs, instead of learning unreferenced functions. We provide comprehensive empirical evidence showing that these residual networks are easier to optimize, and can gain accuracy from considerably increased depth. On the ImageNet dataset we evaluate residual nets with a depth of up to 152 layers---8x deeper than VGG nets but still having lower complexity. An ensemble of these residual nets achieves 3.57% error on the ImageNet test set. This result won the 1st place on the ILSVRC 2015 classification task. We also present analysis on CIFAR-10 with 100 and 1000 layers. The depth of representations is of central importance for many visual recognition tasks. Solely due to our extremely deep representations, we obtain a 28% relative improvement on the COCO object detection dataset. Deep residual nets are foundations of our submissions to ILSVRC & COCO 2015 competitions, where we also won the 1st places on the tasks of ImageNet detection, ImageNet localization, COCO detection, and COCO segmentation.","2016","2021-03-16 14:25:33","2021-04-06 15:05:00","2021-03-16 14:25:33","770-778","","","","","","","","","","","","","","","","","","openaccess.thecvf.com","","","<div data-schema-version=""1""><p>Annotation</p> <p>ResNet</p></div>","F:\Google Drive - Monash\Bibliography\He et al_2016_Deep Residual Learning for Image Recognition.pdf","","Unreviewed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition","","","","","","","","","","","","","","",""
"5DX7TJDY","journalArticle","2014","Lin, Min; Chen, Qiang; Yan, Shuicheng","Network In Network","arXiv:1312.4400 [cs]","","","","http://arxiv.org/abs/1312.4400","We propose a novel deep network structure called ""Network In Network"" (NIN) to enhance model discriminability for local patches within the receptive field. The conventional convolutional layer uses linear filters followed by a nonlinear activation function to scan the input. Instead, we build micro neural networks with more complex structures to abstract the data within the receptive field. We instantiate the micro neural network with a multilayer perceptron, which is a potent function approximator. The feature maps are obtained by sliding the micro networks over the input in a similar manner as CNN; they are then fed into the next layer. Deep NIN can be implemented by stacking mutiple of the above described structure. With enhanced local modeling via the micro network, we are able to utilize global average pooling over feature maps in the classification layer, which is easier to interpret and less prone to overfitting than traditional fully connected layers. We demonstrated the state-of-the-art classification performances with NIN on CIFAR-10 and CIFAR-100, and reasonable performances on SVHN and MNIST datasets.","2014-03-04","2021-03-16 14:27:20","2021-04-08 06:08:21","2021-03-16 14:27:20","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1312.4400","<div data-schema-version=""1""><p>Annotation</p> <p>NIN</p> <p>The traditional convolutional layer as generalized linear model (GLM) has low level of abstraction.</p> <p>By replacing the GLM in convolutional layer with a non-linear function approximator can improve the &nbsp;abstraction ability of local model.</p> <p>The authors proposed two concepts, using MLP to replace the GLM in convolutional layer, and the usage of global average pooling layer. They use convolution layers with 1x1 kernel to simulate the MLP inside. And the global average pooling layer is used to replace the fully-connected layers in traditional CNN.</p> <p>CIFAR-10, CIFAR-100, SVHN, MNIST.</p> <p>The metric is test set classification error. In these 4 datasets, the NIN has an outstanding performance compared to other structures. Also the global average pooling as a regularizer is also better than fully connected + dropout set.</p> <p>+ve: The Mlpconv allows more complex and learnable interaction of cross channel information. Global average pooling is more meaningful and interpretable. Global average pooling is more robust to spatial translations of the input.</p> <p>-ve:</p> <p>The ideas in this paper is amazing, and many famous structures such as ResNet and GoogLeNet use these ideas.</p> <p></p></div>; Comment: 10 pages, 4 figures, for iclr2014","F:\Google Drive - Monash\Bibliography\Lin et al_2014_Network In Network.pdf; C:\Users\smczx\Zotero\storage\GBJXNLGT\1312.html","","","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQEVWNAP","conferencePaper","2015","Szegedy, Christian; Liu, Wei; Jia, Yangqing; Sermanet, Pierre; Reed, Scott; Anguelov, Dragomir; Erhan, Dumitru; Vanhoucke, Vincent; Rabinovich, Andrew","Going Deeper With Convolutions","Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition","","","","https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Szegedy_Going_Deeper_With_2015_CVPR_paper.html","We propose a deep convolutional neural network architecture codenamed Inception that achieves the new state of the art for classification and detection in the ImageNet Large-Scale Visual Recognition Challenge 2014 (ILSVRC2014). The main hallmark of this architecture is the improved utilization of the computing resources inside the network. By a carefully crafted design, we increased the depth and width of the network while keeping the computational budget constant. To optimize quality, the architectural decisions were based on the Hebbian principle and the intuition of multi-scale processing. One particular incarnation of this architecture, GoogLeNet, a 22 layers deep network, was used to assess its quality in the context of object detection and classification.","2015","2021-03-16 14:27:59","2021-04-08 09:13:54","2021-03-16 14:27:59","1-9","","","","","","","","","","","","","","","","","","www.cv-foundation.org","","","<div data-schema-version=""1""><p>Annotation</p> <p>Inception Module and GoogLeNet (InceptionV1)</p> <p>The mobile and embedded computting has limited power for models. A high-efficiency method is required.</p> <p>Decide to develop a high-efficiency method keeping a computational budget of 1.5 billion operations.</p> <p>The Inception module has multiple routes for input features. Each route has different kernel size of convolutions and max-pooling. And then, concatenate the outputs as the result of this module. Otherwise, the 1x1 convolutions can be used to reduce the number of channels. GoogLeNet is the model formed by Inception modules.</p> <p>ILSVRC 2014</p> <p>The metric is Top-5 error in ILSVRC 2014. The GoogLeNet ranked 1st in this competition.</p> <p>+ve: A significant quality improvement with slightly increase of computational requirements. Also available for object detection.</p> <p>-ve:</p> <p>The Inception Module is the new direction that the CNN can be not sequence. And, the high-efficiency also is an important metrics to judge the usability of a neural network structure.</p></div>","C:\Users\smczx\Zotero\storage\PTFRKBPB\Szegedy_Going_Deeper_With_2015_CVPR_paper.html; F:\Google Drive - Monash\Bibliography\Szegedy et al_2015_Going Deeper With Convolutions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition","","","","","","","","","","","","","","",""
"Y99BNDVT","journalArticle","2012","Krizhevsky, Alex; Sutskever, Ilya; Hinton, Geoffrey","ImageNet Classification with Deep Convolutional Neural Networks","Advances in neural information processing systems","","","10.1145/3065386","","We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in the ImageNet LSVRC-2010 contest into the 1000 dif-ferent classes. On the test data, we achieved top-1 and top-5 error rates of 37.5% and 17.0% which is considerably better than the previous state-of-the-art. The neural network, which has 60 million parameters and 650,000 neurons, consists of five convolutional layers, some of which are followed by max-pooling layers, and three fully-connected layers with a final 1000-way softmax. To make train-ing faster, we used non-saturating neurons and a very efficient GPU implemen-tation of the convolution operation. To reduce overfitting in the fully-connected layers we employed a recently-developed regularization method called ""dropout"" that proved to be very effective. We also entered a variant of this model in the ILSVRC-2012 competition and achieved a winning top-5 test error rate of 15.3%, compared to 26.2% achieved by the second-best entry.","2012-01-01","2021-03-16 14:39:49","2021-04-06 15:04:35","","1097–1105","","","25","","Neural Information Processing Systems","","","","","","","","","","","","","ResearchGate","","","<div data-schema-version=""2""><p>Annotation</p> <p>AlexNet / ReLU</p></div>","; F:\Google Drive - Monash\Bibliography\Krizhevsky et al_2012_ImageNet Classification with Deep Convolutional Neural Networks.pdf","https://www.researchgate.net/publication/267960550_ImageNet_Classification_with_Deep_Convolutional_Neural_Networks","Unreviewed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7T2LWIMS","conferencePaper","2020","Pidhorskyi, Stanislav; Adjeroh, Donald A.; Doretto, Gianfranco","Adversarial Latent Autoencoders","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","","","https://openaccess.thecvf.com/content_CVPR_2020/html/Pidhorskyi_Adversarial_Latent_Autoencoders_CVPR_2020_paper.html","Autoencoder networks are unsupervised approaches aiming at combining generative and representational properties by learning simultaneously an encoder-generator map. Although studied extensively, the issues of whether they have the same generative power of GANs, or learn disentangled representations, have not been fully addressed. We introduce an autoencoder that tackles these issues jointly, which we call Adversarial Latent Autoencoder (ALAE). It is a general architecture that can leverage recent improvements on GAN training procedures. We designed two autoencoders: one based on a MLP encoder, and another based on a StyleGAN generator, which we call StyleALAE. We verify the disentanglement properties of both architectures. We show that StyleALAE can not only generate 1024x1024 face images with comparable quality of StyleGAN, but at the same resolution can also produce face reconstructions and manipulations based on real images. This makes ALAE the first autoencoder able to compare with, and go beyond the capabilities of a generator-only type of architecture.","2020","2021-03-16 14:44:03","2021-04-06 15:06:27","2021-03-16 14:44:03","14104-14113","","","","","","","","","","","","","","","","","","openaccess.thecvf.com","","","","C:\Users\smczx\Zotero\storage\8TBAEC8L\Pidhorskyi_Adversarial_Latent_Autoencoders_CVPR_2020_paper.html; F:\Google Drive - Monash\Bibliography\Pidhorskyi et al_2020_Adversarial Latent Autoencoders.pdf","","Unreviewed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition","","","","","","","","","","","","","","",""
"ZS3LF4TU","journalArticle","2017","Arjovsky, Martin; Chintala, Soumith; Bottou, Léon","Wasserstein GAN","arXiv:1701.07875 [cs, stat]","","","","http://arxiv.org/abs/1701.07875","We introduce a new algorithm named WGAN, an alternative to traditional GAN training. In this new model, we show that we can improve the stability of learning, get rid of problems like mode collapse, and provide meaningful learning curves useful for debugging and hyperparameter searches. Furthermore, we show that the corresponding optimization problem is sound, and provide extensive theoretical work highlighting the deep connections to other distances between distributions.","2017-12-06","2021-03-16 14:44:26","2021-04-06 15:05:33","2021-03-16 14:44:26","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1701.07875","<div data-schema-version=""1""><p>Annotation</p> <p>WGAN</p></div>","F:\Google Drive - Monash\Bibliography\Arjovsky et al_2017_Wasserstein GAN.pdf; C:\Users\smczx\Zotero\storage\PWZ8UTT5\1701.html","","Unreviewed","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMPBRIPK","journalArticle","2020","Zheng, Xin; Guo, Yanqing; Huang, Huaibo; Li, Yi; He, Ran","A Survey of Deep Facial Attribute Analysis","International Journal of Computer Vision","","1573-1405","10.1007/s11263-020-01308-z","https://doi.org/10.1007/s11263-020-01308-z","Facial attribute analysis has received considerable attention when deep learning techniques made remarkable breakthroughs in this field over the past few years. Deep learning based facial attribute analysis consists of two basic sub-issues: facial attribute estimation (FAE), which recognizes whether facial attributes are present in given images, and facial attribute manipulation (FAM), which synthesizes or removes desired facial attributes. In this paper, we provide a comprehensive survey of deep facial attribute analysis from the perspectives of both estimation and manipulation. First, we summarize a general pipeline that deep facial attribute analysis follows, which comprises two stages: data preprocessing and model construction. Additionally, we introduce the underlying theories of this two-stage pipeline for both FAE and FAM. Second, the datasets and performance metrics commonly used in facial attribute analysis are presented. Third, we create a taxonomy of state-of-the-art methods and review deep FAE and FAM algorithms in detail. Furthermore, several additional facial attribute related issues are introduced, as well as relevant real-world applications. Finally, we discuss possible challenges and promising future research directions.","2020-09-01","2021-03-16 14:46:55","2021-04-06 15:06:45","2021-03-16 14:46:55","2002-2034","","8","128","","Int J Comput Vis","","","","","","","","en","","","","","Springer Link","","","<div data-schema-version=""2""><p>Annotation</p> <p>Introduction to all facial analysis</p></div>","F:\Google Drive - Monash\Bibliography\Zheng et al_2020_A Survey of Deep Facial Attribute Analysis.pdf","","Unreviewed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNGWI5TW","journalArticle","2016","Radford, Alec; Metz, Luke; Chintala, Soumith","Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks","arXiv:1511.06434 [cs]","","","","http://arxiv.org/abs/1511.06434","In recent years, supervised learning with convolutional networks (CNNs) has seen huge adoption in computer vision applications. Comparatively, unsupervised learning with CNNs has received less attention. In this work we hope to help bridge the gap between the success of CNNs for supervised learning and unsupervised learning. We introduce a class of CNNs called deep convolutional generative adversarial networks (DCGANs), that have certain architectural constraints, and demonstrate that they are a strong candidate for unsupervised learning. Training on various image datasets, we show convincing evidence that our deep convolutional adversarial pair learns a hierarchy of representations from object parts to scenes in both the generator and discriminator. Additionally, we use the learned features for novel tasks - demonstrating their applicability as general image representations.","2016-01-07","2021-03-16 14:49:34","2021-04-06 15:05:28","2021-03-16 14:49:34","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1511.06434","<div data-schema-version=""1""><p>Annotation</p> <p>DCGAN</p></div>; Comment: Under review as a conference paper at ICLR 2016","F:\Google Drive - Monash\Bibliography\Radford et al_2016_Unsupervised Representation Learning with Deep Convolutional Generative.pdf; C:\Users\smczx\Zotero\storage\DQWLAZHB\1511.html","","Unreviewed","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTCMR42I","conferencePaper","2015","Ioffe, Sergey; Szegedy, Christian","Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift","International Conference on Machine Learning","","","","http://proceedings.mlr.press/v37/ioffe15.html","Training Deep Neural Networks is complicated by the fact that the distribution of each layer’s inputs changes during training, as the parameters of the previous layers change. This slows down the t...","2015-06-01","2021-03-16 14:50:26","2021-04-06 15:04:50","2021-03-16 14:50:26","448-456","","","","","","Batch Normalization","","","","","PMLR","","en","","","","","proceedings.mlr.press","","ISSN: 1938-7228","<div data-schema-version=""1""><p>Annotation</p> <p>Batch normalization and InceptionV2</p> <p></p></div>","C:\Users\smczx\Zotero\storage\T2BGYQWB\ioffe15.html; F:\Google Drive - Monash\Bibliography\Ioffe_Szegedy_2015_Batch Normalization.pdf","","Unreviewed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Machine Learning","","","","","","","","","","","","","","",""
"VP88VTAW","conferencePaper","2020","Mildenhall, Ben; Srinivasan, Pratul; Tancik, Matthew; Barron, Jonathan; Ramamoorthi, Ravi; Ng, Ren","NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis","European Conference on Computer Vision","978-3-030-58451-1","","10.1007","","We present a method that achieves state-of-the-art results for synthesizing novel views of complex scenes by optimizing an underlying continuous volumetric scene function using a sparse set of input views. Our algorithm represents a scene using a fully-connected (non-convolutional) deep network, whose input is a single continuous 5D coordinate (spatial location (x,y,z) and viewing direction (θ,ϕ)) and whose output is the volume density and view-dependent emitted radiance at that spatial location. We synthesize views by querying 5D coordinates along camera rays and use classic volume rendering techniques to project the output colors and densities into an image. Because volume rendering is naturally differentiable, the only input required to optimize our representation is a set of images with known camera poses. We describe how to effectively optimize neural radiance fields to render photorealistic novel views of scenes with complicated geometry and appearance, and demonstrate results that outperform prior work on neural rendering and view synthesis. View synthesis results are best viewed as videos, so we urge readers to view our supplementary video for convincing comparisons.","2020","2021-03-16 14:54:40","2021-03-16 15:32:14","","405-421","","","","","","","","","","","","Springer, Cham","","","","","","","","DOI: 10.1007/978-3-030-58452-8_24","","F:\Google Drive - Monash\Bibliography\Mildenhall et al_2020_NeRF.pdf","","Unread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","European Conference on Computer Vision","","","","","","","","","","","","","","",""
"C3G62U2M","journalArticle","2020","Pumarola, Albert; Corona, Enric; Pons-Moll, Gerard; Moreno-Noguer, Francesc","D-NeRF: Neural Radiance Fields for Dynamic Scenes","arXiv:2011.13961 [cs]","","","","http://arxiv.org/abs/2011.13961","Neural rendering techniques combining machine learning with geometric reasoning have arisen as one of the most promising approaches for synthesizing novel views of a scene from a sparse set of images. Among these, stands out the Neural radiance fields (NeRF), which trains a deep network to map 5D input coordinates (representing spatial location and viewing direction) into a volume density and view-dependent emitted radiance. However, despite achieving an unprecedented level of photorealism on the generated images, NeRF is only applicable to static scenes, where the same spatial location can be queried from different images. In this paper we introduce D-NeRF, a method that extends neural radiance fields to a dynamic domain, allowing to reconstruct and render novel images of objects under rigid and non-rigid motions from a \emph{single} camera moving around the scene. For this purpose we consider time as an additional input to the system, and split the learning process in two main stages: one that encodes the scene into a canonical space and another that maps this canonical representation into the deformed scene at a particular time. Both mappings are simultaneously learned using fully-connected networks. Once the networks are trained, D-NeRF can render novel images, controlling both the camera view and the time variable, and thus, the object movement. We demonstrate the effectiveness of our approach on scenes with objects under rigid, articulated and non-rigid motions. Code, model weights and the dynamic scenes dataset will be released.","2020-11-27","2021-03-16 14:59:24","2021-03-16 15:32:20","2021-03-16 14:59:24","","","","","","","D-NeRF","","","","","","","","","","","","arXiv.org","","arXiv: 2011.13961","","F:\Google Drive - Monash\Bibliography\Pumarola et al_2020_D-NeRF.pdf; C:\Users\smczx\Zotero\storage\4M84DPVT\2011.html","","Unread","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
